Opponent,HomeBool,FTHG,FTAG,ScoreDiff,Results,WinStreak,TGS
Wolves,1,1,1,0,1,0,0
West Ham,0,3,1,-2,0,0,0
Newcastle,1,3,2,1,2,1,0
Chelsea,0,2,2,0,1,0,0
Everton,1,2,1,1,2,1,0
Bournemouth,0,1,2,1,2,2,0
Man City,0,3,1,-2,0,0,0
Crystal Palace,1,0,0,0,1,0,0
Southampton,0,2,2,0,1,0,0
Arsenal,1,2,2,0,1,0,0
Fulham,1,4,1,3,2,1,0
Liverpool,0,3,1,-2,0,0,0
Cardiff,0,1,5,4,2,1,0
Huddersfield,1,3,1,2,2,2,0
Bournemouth,1,4,1,3,2,3,1
Newcastle,0,0,2,2,2,4,1
Tottenham,0,0,1,1,2,5,1
Brighton,1,2,1,1,2,6,1
Burnley,1,2,2,0,1,0,0
Leicester,0,0,1,1,2,1,0
Fulham,0,0,3,3,2,2,0
Liverpool,1,0,0,0,1,0,0
Crystal Palace,0,1,3,2,2,1,0
Southampton,1,3,2,1,2,2,0
Arsenal,0,2,0,-2,0,0,0
Watford,1,2,1,1,2,1,0
Wolves,0,2,1,-1,0,0,0
West Ham,1,2,1,1,2,1,0
Everton,0,4,0,-4,0,0,0
Man City,1,0,2,-2,0,0,0
Chelsea,1,1,1,0,1,0,0
Huddersfield,0,1,1,0,1,0,0
Cardiff,1,0,2,-2,0,0,0
Chelsea,1,4,0,4,2,1,0
Wolves,0,1,1,0,1,0,0
Crystal Palace,1,1,2,-1,0,0,0
Southampton,0,1,1,0,1,0,0
Leicester,1,1,0,1,2,1,0
West Ham,0,2,0,-2,0,0,0
Arsenal,1,1,1,0,1,0,0
Newcastle,0,1,0,-1,0,0,0
Liverpool,1,1,1,0,1,0,0
Norwich,0,1,3,2,2,1,0
Bournemouth,0,1,0,-1,0,0,0
Brighton,1,3,1,2,2,1,0
Sheffield United,0,3,3,0,1,0,0
Aston Villa,1,2,2,0,1,0,0
Tottenham,1,2,1,1,2,1,0
Man City,0,1,2,1,2,2,0
Everton,1,1,1,0,1,0,0
Watford,0,2,0,-2,0,0,0
Newcastle,1,4,1,3,2,1,0
Burnley,0,0,2,2,2,2,0
Arsenal,0,2,0,-2,0,0,0
Norwich,1,4,0,4,2,1,0
Liverpool,0,2,0,-2,0,0,0
Burnley,1,0,2,-2,0,0,0
Wolves,1,0,0,0,1,0,0
Chelsea,0,0,2,2,2,1,0
Watford,1,3,0,3,2,2,0
Everton,0,1,1,0,1,0,0
Man City,1,2,0,2,2,1,0
Tottenham,0,1,1,0,1,0,0
Sheffield United,1,3,0,3,2,1,0
Brighton,0,0,3,3,2,2,0
Bournemouth,1,5,2,3,2,3,1
Aston Villa,0,0,3,3,2,4,1
Southampton,1,2,2,0,1,0,0
Crystal Palace,0,0,2,2,2,1,0
West Ham,1,1,1,0,1,0,0
Leicester,0,0,2,2,2,1,0
Crystal Palace,1,1,3,-2,0,0,0
Brighton,0,2,3,1,2,1,0
Tottenham,1,1,6,-5,0,0,0
Newcastle,0,1,4,3,2,1,0
Chelsea,1,0,0,0,1,0,0
Arsenal,1,0,1,-1,0,0,0
Everton,0,1,3,2,2,1,0
West Brom,1,1,0,1,2,2,0
Southampton,0,2,3,1,2,3,1
West Ham,0,1,3,2,2,4,1
Man City,1,0,0,0,1,0,0
Sheffield United,0,2,3,1,2,1,0
Leeds,1,6,2,4,2,2,0
Leicester,0,2,2,0,1,0,0
Wolves,1,1,0,1,2,1,0
Aston Villa,1,2,1,1,2,2,0
Burnley,0,0,1,1,2,3,1
Liverpool,0,0,0,0,1,0,0
Fulham,0,1,2,1,2,1,0
Sheffield United,1,1,2,-1,0,0,0
Arsenal,0,0,0,0,1,0,0
Southampton,1,9,0,9,2,1,0
Everton,1,3,3,0,1,0,0
West Brom,0,1,1,0,1,0,0
Newcastle,1,3,1,2,2,1,0
Chelsea,0,0,0,0,1,0,0
Crystal Palace,0,0,0,0,1,0,0
Man City,0,0,2,2,2,1,0
West Ham,1,1,0,1,2,2,0
Brighton,1,2,1,1,2,3,1
Tottenham,0,1,3,2,2,4,1
Burnley,1,3,1,2,2,5,1
Leeds,0,0,0,0,1,0,0
Aston Villa,0,1,3,2,2,1,0
Leicester,1,1,2,-1,0,0,0
Liverpool,1,2,4,-2,0,0,0
Fulham,1,1,1,0,1,0,0
Wolves,0,1,2,1,2,1,0
